year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,2,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",76.00,8.00,3.99,0.38,2.64,0.00,1.00,1.00,0.00,489.00,215.00,50.00,84.00,0.00,140.00
2024,2,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,2,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",58.00,6.00,1.65,0.00,2.23,0.00,2.13,0.00,0.00,318.00,126.00,0.00,101.00,0.00,91.00
2024,2,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",78.00,7.00,1.44,0.00,3.18,0.00,2.38,0.00,0.00,256.00,69.00,0.00,100.00,0.00,87.00
2024,2,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",88.00,6.00,3.00,0.00,1.00,0.00,2.00,2.00,0.00,601.00,188.00,0.00,20.00,0.00,393.00
2024,2,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1991.00,190.00,60.62,9.31,58.38,0.00,61.69,2.00,1.00,13482.00,6783.00,645.00,1971.00,0.00,4083.00
2024,2,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",54.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,108.00,0.00,0.00,108.00,0.00,0.00
2024,2,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",29.00,2.00,0.00,0.00,1.06,0.00,0.94,1.00,0.00,485.00,0.00,0.00,59.00,0.00,426.00
2024,2,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",45.00,5.00,3.00,0.00,1.00,0.00,1.00,1.00,0.00,151.00,72.00,0.00,18.00,0.00,61.00
2024,2,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",29.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,21.00,0.00,0.00,0.00,0.00,21.00
2024,2,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",87.00,10.00,3.41,0.00,0.00,0.00,6.59,3.00,0.00,568.00,143.00,0.00,0.00,0.00,425.00
2024,2,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",106.00,10.00,3.68,0.00,2.56,0.00,3.76,2.00,0.00,771.00,129.00,0.00,134.00,0.00,508.00
2024,2,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",58.00,6.00,2.19,1.00,2.81,0.00,0.00,0.00,0.00,721.00,71.00,572.00,78.00,0.00,0.00
2024,2,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",82.00,15.00,3.11,0.00,5.60,0.00,6.29,1.00,0.00,523.00,68.00,0.00,249.00,0.00,206.00
2024,2,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",101.00,4.00,2.00,0.00,1.00,0.00,1.00,0.00,0.00,123.00,56.00,0.00,40.00,0.00,27.00
2024,2,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",133.00,10.00,4.18,1.23,0.40,0.00,4.19,3.00,0.00,845.00,227.00,105.00,31.00,0.00,482.00
2024,2,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",137.00,25.00,9.00,0.66,4.06,0.00,11.28,5.00,0.00,1626.00,498.00,73.00,289.00,0.00,766.00
2024,2,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",54.00,10.00,4.12,0.00,2.14,0.00,3.74,0.00,0.00,589.00,352.00,0.00,47.00,0.00,190.00
2024,2,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",52.00,5.00,2.03,0.00,0.69,0.00,2.28,0.00,0.00,352.00,94.00,0.00,99.00,0.00,159.00
2024,2,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",78.00,7.00,5.00,0.00,0.90,0.00,1.10,0.00,0.00,269.00,187.00,0.00,43.00,0.00,39.00
