year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,6,YV,Mesa Airlines Inc.,BDL,"Hartford, CT: Bradley International",73.00,9.00,5.50,0.00,1.07,0.00,2.44,0.00,0.00,664.00,239.00,0.00,39.00,0.00,386.00
2024,6,YV,Mesa Airlines Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",95.00,41.00,14.96,2.26,11.41,0.00,12.37,2.00,0.00,3232.00,685.00,260.00,389.00,0.00,1898.00
2024,6,YV,Mesa Airlines Inc.,BNA,"Nashville, TN: Nashville International",75.00,14.00,6.85,1.00,1.77,0.00,4.37,2.00,0.00,1297.00,807.00,23.00,70.00,0.00,397.00
2024,6,YV,Mesa Airlines Inc.,BRO,"Brownsville, TX: Brownsville South Padre Island International",21.00,4.00,1.88,1.00,0.12,0.00,1.00,0.00,0.00,157.00,50.00,25.00,3.00,0.00,79.00
2024,6,YV,Mesa Airlines Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",83.00,27.00,15.15,0.43,2.23,0.00,9.19,2.00,0.00,1972.00,939.00,9.00,147.00,0.00,877.00
2024,6,YV,Mesa Airlines Inc.,BTV,"Burlington, VT: Burlington International",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,6,YV,Mesa Airlines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",36.00,5.00,3.36,0.00,1.01,0.00,0.64,0.00,0.00,510.00,295.00,0.00,23.00,0.00,192.00
2024,6,YV,Mesa Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",20.00,5.00,3.00,1.00,1.00,0.00,0.00,0.00,0.00,246.00,196.00,23.00,27.00,0.00,0.00
2024,6,YV,Mesa Airlines Inc.,BZN,"Bozeman, MT: Bozeman Yellowstone International",19.00,6.00,2.91,0.00,3.09,0.00,0.00,0.00,1.00,159.00,79.00,0.00,80.00,0.00,0.00
2024,6,YV,Mesa Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International",59.00,13.00,6.08,1.94,0.40,0.00,4.57,0.00,0.00,606.00,232.00,137.00,20.00,0.00,217.00
2024,6,YV,Mesa Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",76.00,12.00,7.01,0.00,2.08,0.00,2.90,0.00,0.00,1495.00,500.00,0.00,110.00,0.00,885.00
2024,6,YV,Mesa Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",120.00,23.00,10.90,1.39,4.51,0.00,6.19,1.00,0.00,2566.00,766.00,236.00,197.00,0.00,1367.00
2024,6,YV,Mesa Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",80.00,11.00,7.32,0.00,1.43,0.00,2.26,0.00,0.00,736.00,379.00,0.00,40.00,0.00,317.00
2024,6,YV,Mesa Airlines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,6,YV,Mesa Airlines Inc.,CRP,"Corpus Christi, TX: Corpus Christi International",115.00,39.00,13.24,2.97,3.11,0.00,19.68,3.00,0.00,4832.00,1212.00,173.00,299.00,0.00,3148.00
2024,6,YV,Mesa Airlines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",130.00,34.00,13.25,2.36,4.39,0.00,14.00,0.00,0.00,1836.00,526.00,131.00,137.00,0.00,1042.00
2024,6,YV,Mesa Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,6,YV,Mesa Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",179.00,63.00,28.59,3.46,14.47,0.00,16.48,3.00,2.00,4722.00,1917.00,377.00,676.00,0.00,1752.00
2024,6,YV,Mesa Airlines Inc.,DRO,"Durango, CO: Durango La Plata County",10.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,22.00,0.00,0.00,0.00,0.00
