year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,10,OH,PSA Airlines Inc.,SGF,"Springfield, MO: Springfield-Branson National",119.00,16.00,5.50,0.00,3.60,0.00,6.90,0.00,0.00,1575.00,716.00,0.00,111.00,0.00,748.00
2024,10,OH,PSA Airlines Inc.,SHV,"Shreveport, LA: Shreveport Regional",92.00,12.00,4.56,0.00,5.92,0.00,1.52,0.00,0.00,372.00,174.00,0.00,166.00,0.00,32.00
2024,10,OH,PSA Airlines Inc.,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",31.00,3.00,0.40,0.00,0.03,0.00,2.57,7.00,0.00,86.00,9.00,0.00,1.00,0.00,76.00
2024,10,OH,PSA Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International",115.00,15.00,6.87,0.00,0.33,0.00,7.79,0.00,0.00,1186.00,351.00,0.00,7.00,0.00,828.00
2024,10,OH,PSA Airlines Inc.,SYR,"Syracuse, NY: Syracuse Hancock International",15.00,4.00,1.42,0.00,1.06,0.00,1.53,0.00,0.00,162.00,62.00,0.00,27.00,0.00,73.00
2024,10,OH,PSA Airlines Inc.,TLH,"Tallahassee, FL: Tallahassee International",78.00,6.00,4.39,0.00,0.48,0.00,1.13,0.00,0.00,203.00,160.00,0.00,11.00,0.00,32.00
2024,10,OH,PSA Airlines Inc.,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",49.00,6.00,2.73,0.00,1.78,0.00,1.49,0.00,0.00,367.00,193.00,0.00,52.00,0.00,122.00
2024,10,OH,PSA Airlines Inc.,TUL,"Tulsa, OK: Tulsa International",56.00,3.00,0.61,0.00,0.00,0.00,2.39,0.00,0.00,173.00,63.00,0.00,0.00,0.00,110.00
2024,10,OH,PSA Airlines Inc.,TVC,"Traverse City, MI: Cherry Capital",31.00,2.00,0.53,0.00,0.11,0.00,1.37,0.00,0.00,131.00,59.00,0.00,2.00,0.00,70.00
2024,10,OH,PSA Airlines Inc.,TYS,"Knoxville, TN: McGhee Tyson",403.00,77.00,23.47,1.49,32.12,0.00,19.92,0.00,0.00,3708.00,1121.00,69.00,1056.00,0.00,1462.00
2024,10,OH,PSA Airlines Inc.,VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",68.00,6.00,0.52,0.00,3.77,0.00,1.71,0.00,0.00,260.00,33.00,0.00,118.00,0.00,109.00
2024,10,OH,PSA Airlines Inc.,XNA,"Fayetteville, AR: Northwest Arkansas National",44.00,3.00,0.48,0.00,1.48,0.00,1.05,0.00,0.00,102.00,10.00,0.00,57.00,0.00,35.00
2024,10,OO,SkyWest Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",382.00,45.00,30.39,0.00,4.50,0.00,10.12,0.00,0.00,2032.00,1420.00,0.00,172.00,0.00,440.00
2024,10,OO,SkyWest Airlines Inc.,ABR,"Aberdeen, SD: Aberdeen Regional",62.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,978.00,978.00,0.00,0.00,0.00,0.00
2024,10,OO,SkyWest Airlines Inc.,ABY,"Albany, GA: Southwest Georgia Regional",62.00,8.00,5.58,0.65,1.77,0.00,0.00,0.00,0.00,1069.00,1010.00,15.00,44.00,0.00,0.00
2024,10,OO,SkyWest Airlines Inc.,ACT,"Waco, TX: Waco Regional",92.00,25.00,12.70,1.00,1.99,0.00,9.31,0.00,0.00,1873.00,925.00,39.00,186.00,0.00,723.00
2024,10,OO,SkyWest Airlines Inc.,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",179.00,33.00,17.49,1.98,5.54,0.00,7.99,1.00,3.00,4332.00,1637.00,932.00,432.00,0.00,1331.00
2024,10,OO,SkyWest Airlines Inc.,AEX,"Alexandria, LA: Alexandria International",86.00,14.00,9.94,0.00,1.06,0.00,3.00,0.00,1.00,1889.00,1329.00,0.00,139.00,0.00,421.00
2024,10,OO,SkyWest Airlines Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",41.00,14.00,9.58,2.91,1.51,0.00,0.00,0.00,0.00,937.00,555.00,278.00,104.00,0.00,0.00
2024,10,OO,SkyWest Airlines Inc.,ALB,"Albany, NY: Albany International",99.00,22.00,16.31,1.44,2.24,0.00,2.00,0.00,1.00,651.00,450.00,36.00,66.00,0.00,99.00
2024,10,OO,SkyWest Airlines Inc.,AMA,"Amarillo, TX: Rick Husband Amarillo International",98.00,17.00,10.21,0.00,0.85,0.00,5.94,0.00,0.00,1016.00,702.00,0.00,37.00,0.00,277.00
2024,10,OO,SkyWest Airlines Inc.,APN,"Alpena, MI: Alpena County Regional",52.00,5.00,3.98,0.00,1.02,0.00,0.00,0.00,0.00,559.00,445.00,0.00,114.00,0.00,0.00
2024,10,OO,SkyWest Airlines Inc.,ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",497.00,67.00,37.87,5.52,4.16,0.00,19.44,2.00,8.00,3826.00,1830.00,376.00,142.00,0.00,1478.00
2024,10,OO,SkyWest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",748.00,99.00,77.56,16.15,5.29,0.00,0.00,0.00,1.00,10050.00,8759.00,1065.00,226.00,0.00,0.00
