year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,9,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",81.00,7.00,5.61,0.56,0.84,0.00,0.00,0.00,0.00,243.00,201.00,15.00,27.00,0.00,0.00
2024,9,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",81.00,6.00,4.43,0.00,1.13,0.00,0.44,0.00,0.00,647.00,440.00,0.00,189.00,0.00,18.00
2024,9,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",133.00,12.00,3.49,2.04,3.84,0.00,2.63,10.00,0.00,2382.00,1269.00,594.00,167.00,0.00,352.00
2024,9,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",73.00,4.00,0.82,1.00,0.23,0.00,1.95,0.00,0.00,160.00,28.00,15.00,9.00,0.00,108.00
2024,9,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2204.00,280.00,61.70,17.36,88.36,0.00,112.57,40.00,4.00,24383.00,7840.00,2297.00,3690.00,0.00,10556.00
2024,9,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",2.00,1.00,0.98,0.00,0.02,0.00,0.00,0.00,0.00,127.00,124.00,0.00,3.00,0.00,0.00
2024,9,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",56.00,2.00,2.00,0.00,0.00,0.00,0.00,5.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00
2024,9,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",26.00,3.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,142.00,18.00,0.00,0.00,0.00,124.00
2024,9,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",30.00,1.00,0.78,0.00,0.22,0.00,0.00,0.00,0.00,18.00,14.00,0.00,4.00,0.00,0.00
2024,9,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",115.00,7.00,2.98,0.00,2.02,0.00,2.00,0.00,1.00,884.00,719.00,0.00,60.00,0.00,105.00
2024,9,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",81.00,5.00,0.76,0.00,1.00,0.00,3.24,0.00,0.00,146.00,31.00,0.00,22.00,0.00,93.00
2024,9,9E,Endeavor Air Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,9,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",60.00,3.00,1.97,0.00,0.47,0.00,0.57,1.00,0.00,62.00,46.00,0.00,7.00,0.00,9.00
2024,9,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",62.00,6.00,1.70,0.00,1.01,0.00,3.29,0.00,1.00,684.00,249.00,0.00,21.00,0.00,414.00
2024,9,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",32.00,4.00,1.58,0.42,0.44,0.00,1.56,1.00,0.00,294.00,38.00,76.00,20.00,0.00,160.00
2024,9,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",146.00,7.00,2.53,0.00,1.83,0.00,2.64,0.00,0.00,601.00,84.00,0.00,88.00,0.00,429.00
2024,9,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",196.00,13.00,3.30,0.00,5.34,0.00,4.36,0.00,0.00,665.00,254.00,0.00,210.00,0.00,201.00
2024,9,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",55.00,2.00,0.75,0.00,0.35,0.00,0.90,0.00,0.00,285.00,95.00,0.00,47.00,0.00,143.00
2024,9,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",122.00,17.00,3.93,1.40,4.96,0.00,6.72,0.00,1.00,810.00,189.00,108.00,150.00,0.00,363.00
2024,9,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",118.00,11.00,5.46,1.06,3.08,0.00,1.40,0.00,0.00,643.00,159.00,274.00,109.00,0.00,101.00
2024,9,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",136.00,9.00,2.29,0.24,3.84,0.00,2.62,1.00,0.00,354.00,153.00,12.00,102.00,0.00,87.00
2024,9,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",112.00,11.00,2.00,0.00,6.10,0.00,2.90,1.00,0.00,502.00,74.00,0.00,227.00,0.00,201.00
2024,9,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",63.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,67.00,28.00,0.00,0.00,0.00,39.00
2024,9,9E,Endeavor Air Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",150.00,12.00,5.15,0.00,2.89,0.00,3.97,0.00,0.00,471.00,189.00,0.00,88.00,0.00,194.00
2024,9,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",263.00,25.00,8.17,0.00,7.69,0.00,9.14,3.00,3.00,1347.00,476.00,0.00,398.00,0.00,473.00
2024,9,9E,Endeavor Air Inc.,CMH,"Columbus, OH: John Glenn Columbus International",9.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,17.00,0.00,0.00
2024,9,9E,Endeavor Air Inc.,CRW,"Charleston/Dunbar, WV: West Virginia International Yeager",19.00,3.00,1.00,0.00,0.02,0.00,1.98,0.00,0.00,141.00,32.00,0.00,2.00,0.00,107.00
2024,9,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport",75.00,6.00,2.27,0.00,1.00,0.00,2.73,4.00,0.00,231.00,57.00,0.00,20.00,0.00,154.00
2024,9,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",488.00,57.00,13.16,0.02,20.61,0.00,23.21,0.00,1.00,3398.00,803.00,2.00,821.00,0.00,1772.00
2024,9,9E,Endeavor Air Inc.,CWA,"Mosinee, WI: Central Wisconsin",60.00,7.00,1.00,0.95,4.05,0.00,1.00,0.00,0.00,873.00,57.00,684.00,107.00,0.00,25.00
2024,9,9E,Endeavor Air Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,9,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",167.00,28.00,4.66,0.94,18.96,0.00,3.44,1.00,3.00,1002.00,380.00,24.00,493.00,0.00,105.00
2024,9,9E,Endeavor Air Inc.,DHN,"Dothan, AL: Dothan Regional",59.00,9.00,6.12,0.00,0.88,0.00,2.00,2.00,0.00,400.00,277.00,0.00,20.00,0.00,103.00
2024,9,9E,Endeavor Air Inc.,DLH,"Duluth, MN: Duluth International",9.00,2.00,0.87,0.00,0.13,0.00,1.00,0.00,0.00,98.00,34.00,0.00,5.00,0.00,59.00
2024,9,9E,Endeavor Air Inc.,DSM,"Des Moines, IA: Des Moines International",212.00,9.00,4.16,1.00,0.00,0.00,3.84,0.00,0.00,431.00,152.00,32.00,0.00,0.00,247.00
2024,9,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",890.00,51.00,17.48,4.05,9.24,0.00,20.23,1.00,0.00,3908.00,1697.00,257.00,329.00,0.00,1625.00
2024,9,9E,Endeavor Air Inc.,EVV,"Evansville, IN: Evansville Regional",81.00,6.00,3.40,0.70,0.63,0.00,1.26,0.00,0.00,340.00,153.00,46.00,40.00,0.00,101.00
2024,9,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",136.00,27.00,4.84,2.05,12.88,0.00,7.23,0.00,0.00,2127.00,310.00,39.00,1099.00,0.00,679.00
